"FECH","ADUA","PAIS","COD_PAI4","COD_SAL1","COD_SAL","DPTO2","VIA","BANDERA","REGIM","MODAD","FINALID","CER_ORI1","SISESP","POSAR","DPTO1","UNID","CODUNI2","CANTI","PBK","PNK","FOBDOL","FOBPES","AGRENA","FLETES","SEGURO","OTROSG","NIT","RAZ_SIAL"
901,1,924,"XCF",5,"CLO",76,3,169,1,198,1,8,1,1901200000,76,33,"KG",5000,5000,5000,3000,6648690,1556.1,0,0,0,"8903235268","C.I. PRODUCTOS EL NEVADO S.A."
901,2,23,"DEU",2,"BAQ",8,1,23,1,198,1,6,1,6302600000,8,11,"U",119618,32121.6,26768,162900.98,388776220.84,120693.34,5880.74,0,0,"890100783","INDUSTRIAS CANNON DE COLOMBIA S.A."
901,2,23,"DEU",2,"BAQ",8,1,741,1,198,1,6,1,6302600000,8,11,"U",71556,12406,11305,88262.14,207055793.05,65393.42,1979.03,0,0,"890100783","INDUSTRIAS CANNON DE COLOMBIA S.A."
901,2,23,"DEU",2,"BAQ",8,1,741,1,199,1,6,1,6302600000,8,11,"U",15556,2187,1989,17159.96,37712787.29,12713.81,932.99,0,0,"890100783","INDUSTRIAS CANNON DE COLOMBIA S.A."
901,2,23,"DEU",2,"BAQ",47,1,628,1,199,1,8,2,1511100000,47,33,"KG",4004764,4004764,4004764,1897667,4170540719.2,0,0,0,0,"840000143","C I ANDINOPRINCES SOCIEDAD ANONIMA"
901,2,23,"DEU",3,"BOG",8,4,23,1,198,1,6,1,9615900000,8,11,"U",12960,62,46.73,622.08,1367157.66,618.99,0,0,40,"890103725","PLASTICOS VANDUX DE COLOMBIA S.A"
901,2,23,"DEU",3,"BOG",8,4,23,1,198,1,8,1,6306910000,8,11,"U",80,144,142.3,1367.6,3046575.17,947.02,716.5,0,0,"890112586","HILATEL S.A"
901,2,23,"DEU",6,"CTG",13,1,77,1,198,1,6,1,9506690000,8,11,"U",392000,1441,1245,19.6,43396.95,10.9,0,0,0,"802009120","C.I. PROCAPS S.A."
901,2,27,"ABW",2,"BAQ",8,1,43,1,198,1,8,2,602109000,8,11,"U",1000,150,150,5380,12023277.8,0,0,0,0,"802017800","TROPIPALMERAS LIMITADA"
901,2,27,"ABW",2,"BAQ",8,1,830,1,198,1,8,2,6302600000,8,11,"U",8700,6090,5510,39759,88570329.12,0,2140,122,0,"800186656","C.I. DISTRIHOGAR S.A."
