"FECH","ADUANA","PAIS4","CODPAI4","CODSAL3","ODSAL3","DEPTOPROCED","VIA4","BANDERA4","REGIMEN4","MODAD4","FORPA4","CERORI3","SISESP4","POSARA","DPTOR4","UNIDAD4","CODUNI4","CANTIDA4","PBK4","PNK4","FOBDOL4","FOBPES4","AGRENA4","FLETES4","SEGURO4","OTROSG4"
503,"02",47,"ANT",2,"BAQ","05",1,"047",1,"198",1,8,2,2309909000,"05",33,"KG",3500,3500,3500,590.6,1402356.08,0,0,0,0
503,"02",47,"ANT",2,"BAQ","05",1,"047",1,"198",1,8,2,2712909000,"05",33,"KG",16.5,16.5,16.5,19,45114.74,0,0,0,0
503,"02",47,"ANT",2,"BAQ","05",1,"047",1,"198",1,8,2,3211000000,"05",33,"KG",2207,2207,2207,5054.82,12002467.9,0,0,0,0
503,"02",47,"ANT",2,"BAQ","05",1,"047",1,"198",1,8,2,3920200090,"05",33,"KG",1531.8,1701,1531.8,4230,10043965.8,0,0,0,0
503,"02",47,"ANT",2,"BAQ","05",1,"047",1,"198",1,8,2,3926909090,"05",33,"KG",200,200,200,445,1056634.7,0,0,0,0
503,"02",47,"ANT",2,"BAQ","05",1,"047",1,"198",1,8,2,4203290000,"05",11,"U",14,7.55,6.45,174.9,415293.05,0,0,0,0
503,"02",47,"ANT",2,"BAQ","05",1,"047",1,"198",1,8,2,5512190000,"05",82,"M2",500,24.97,23.87,250,593615,0,0,0,0
503,"02",47,"ANT",2,"BAQ","05",1,"047",1,"198",1,8,2,6106100000,"05",11,"U",88,80,80,168.6,400333.96,0,0,0,0
503,"02",47,"ANT",2,"BAQ","05",1,"047",1,"198",1,8,2,6210500000,"05",11,"U",38,30,30,54.9,130357.85,0,0,0,0
503,"02",47,"ANT",2,"BAQ","05",1,"047",1,"198",1,8,2,6405900000,"05",19,"2U",70,21.16,21.16,385,914167.1,0,0,0,0
503,"02",47,"ANT",2,"BAQ","05",1,"047",1,"198",1,8,2,6913100000,"05",11,"U",4,70,70,92,218450.32,0,0,0,0
503,"02",47,"ANT",2,"BAQ","05",1,"047",1,"198",1,8,2,7006000000,"05",33,"KG",3500,3500,3500,6000,14246760,0,0,0,0
503,"02",47,"ANT",2,"BAQ","05",1,"047",1,"198",1,8,2,7326900090,"05",11,"U",458,974,974,351.8,835335.03,0,0,0,0
503,"02",47,"ANT",2,"BAQ","05",1,"047",1,"198",1,8,2,7806009000,"05",33,"KG",50,50,50,2,4748.92,0,0,0,0
503,"02",47,"ANT",2,"BAQ","05",1,"047",1,"198",1,8,2,9403600000,"05",11,"U",114,2000,2000,365,866677.9,0,0,0,0
