FECH;ADUA;PAIS;COD_PAI4;COD_SAL1;COD_SAL;DPTO2;VIA;BANDERA;REGIM;MODAD;FINALID;CER_ORI1;SISESP;POSAR;DPTO1;UNID;CODUNI2;CANTI;PBK;PNK;FOBDOL;FOBPES;AGRENA;FLETES;SEGURO;OTROSG
2302;3;023;DEU;3;BOG;11;3;573;1;2;2;8;2;3920209000;11;33;KG;495,00;495,00;495,00;1237,96;6003672,71;0;1913,05;0,3;723,04
2302;3;023;DEU;3;BOG;11;3;573;1;2;2;8;2;3923900000;11;11;U;10,00;204,00;204,00;363,49;1762799,27;0;561,71;0,09;212,3
2302;3;023;DEU;3;BOG;11;3;573;1;2;2;8;2;4420900000;11;11;U;2,00;70,00;70,00;84,19;408292,03;0;130,1;0,02;49,17
2302;3;023;DEU;3;BOG;11;3;573;1;2;2;8;2;4808100000;11;33;KG;12,00;12,00;12,00;7,37;35741,92;0;11,39;0;4,3
2302;3;023;DEU;3;BOG;11;3;573;1;104;2;8;2;8466930000;76;11;U;1,00;16,12;16,12;13558,38;65332681,03;0;0;0;0
2302;3;023;DEU;3;BOG;11;3;573;1;104;2;8;2;8481805900;76;11;U;1,00;0,32;0,32;273,24;1316639,72;0;0;0;0
2302;3;023;DEU;3;BOG;11;3;573;1;104;2;8;2;8537109000;76;11;U;1,00;0,28;0,28;238,65;1149963,66;0;0;0;0
2302;3;023;DEU;3;BOG;11;3;573;1;104;2;8;2;9001900000;76;11;U;1,00;1,65;1,65;1390,43;6699953,80;0;0;0;0
2302;3;023;DEU;3;BOG;11;3;573;1;104;2;8;2;9013900000;76;11;U;4,00;18,62;18,62;15661,31;75465901,59;0;0;0;0
2302;3;023;DEU;3;BOG;11;3;573;1;104;2;8;2;9018312000;76;11;U;17,00;114,00;102,60;53550,00;259698757,50;0;877;293;0
2302;3;023;DEU;3;BOG;11;5;245;1;198;1;8;1;603900000;11;11;U;5730,00;190,99;186,00;9315,90;44508854,89;7865,47;0;0;0
2302;3;023;DEU;3;BOG;11;5;245;1;104;2;8;2;9018190000;11;11;U;1,00;9,00;8,90;3361,19;15695883,39;0;0;0;0
2302;3;023;DEU;3;BOG;11;5;245;1;104;2;8;2;9026101900;5;11;U;107,00;122,00;116,00;535,00;2634826,85;0;0;0;0
2302;3;023;DEU;3;BOG;11;5;275;4;201;2;8;2;8501311000;11;11;U;1,00;9,13;8,50;840,69;4140322,58;0;89,55;10,35;0
2302;3;023;DEU;3;BOG;11;5;275;4;201;2;8;2;9018909000;11;11;U;5,00;43,86;40,82;7203,46;35476392,18;0;767,3;88,65;0
2302;3;023;DEU;3;BOG;11;7;827;1;198;1;6;1;603129000;11;11;U;59360,00;2193,00;1939,00;11046,80;53551644,40;10729,99;0;0;0
2302;3;023;DEU;3;BOG;11;7;827;1;198;1;6;1;7007210000;11;11;U;25,00;2339,95;1670,99;26350,99;124770802,17;21741,63;14937,44;421,88;0
2302;3;023;DEU;3;BOG;11;7;827;1;198;1;6;2;603110000;11;11;U;10400,00;631,00;622,00;3016,00;14712771,84;0;0;0;0
