FECH,ADUANA,PAIS4,CODPAI4,CODSAL,CODSAL3,DEPTO_PROCED,VIA4,BANDERA4,REGIMEN4,MODAD4,FORPA4,CERORI3,SISESP4,POSARA4,DTOR4,UNIDAD4,CODUNI4,CANTIDA4,PBK4,PNK4,FOBDOL4,FOBPES4,AGRENA4,FLETES4,SEGURO4,OTROSG4,NIT,RAZ_SIAL
701,02,23,DEU,2,BAQ,08,1,043,1,198,1,6,1,6302600000,08,11,U,43728,9533.01,8663,77458.08,172676523.16,60301.11,1698.87,0,0,890100783,INDUSTRIAS CANNON DE COLOMBIA S.A
701,02,23,DEU,2,BAQ,08,1,043,1,198,1,8,2,0210200000,08,33,KG,2900,2933.81,2900,9975,22329237,0,0,0,0,802002307,S.  C.I.  OSCAR AREYANES GUILLEN & CIA LTDA.
701,02,23,DEU,2,BAQ,08,1,043,1,198,1,8,2,9601900000,08,11,U,31625,2646.93,2644.28,7906.4,17698634.53,0,0,0,0,802002307,S.  C.I.  OSCAR AREYANES GUILLEN & CIA LTDA.
701,02,23,DEU,3,BOG,08,4,023,1,198,1,8,1,6302600000,08,11,U,200,97,92,604,1345941.52,447.5,0,0,0,890100783,INDUSTRIAS CANNON DE COLOMBIA S.A.
701,02,23,DEU,3,BOG,08,4,023,1,198,1,8,1,6406100000,08,11,U,2434,1049,994,42190.94,94048003.86,32237.35,0,0,0,890104728,C.I. MODAPIEL S.A.
701,02,23,DEU,3,BOG,08,4,023,1,198,1,8,2,0510001000,08,33,KG,2,5,2,13000,29257800,0,0,0,0,802002307,OSCAR AREYANES GUILLEN Y CIA. Y LTDA.
701,02,23,DEU,3,BOG,08,4,169,1,198,2,6,1,6306910000,08,11,U,100,240,236,1644.97,3239538.12,1138.81,805,0,0,890112586,HILATEL S.A.
701,02,23,DEU,6,CTG,13,1,077,1,198,1,6,1,9506690000,08,11,U,6160000,22638,19558,44021.36,97786848.03,30798.47,0,0,0,802009120,C.I. PROCAPS S.A.
701,02,27,ABW,2,BAQ,08,1,043,1,198,1,8,1,6802210000,08,82,M2,103.58,5179,5179,2796.66,6323863.53,1986,0,0,0,800157469,EUROMARMOL LTDA
701,02,27,ABW,2,BAQ,08,1,043,1,198,1,8,2,6810190000,08,82,M2,2076.44,23569,23569,6737,15018726.73,0,0,0,0,860002301,ETERNIT ATLANTICO S.A.
701,02,27,ABW,2,BAQ,08,1,043,1,198,1,8,2,6810990000,08,33,KG,833,833,833,840,1872603.6,0,0,0,0,860002301,ETERNIT ATLANTICO S.A.
701,02,27,ABW,2,BAQ,08,1,043,1,198,1,8,2,6907900000,54,82,M2,988.7,25986,25486,5556.37,12448046.84,0,0,0,0,890501650,TEJAR SANTA TERESA S.A
701,02,27,ABW,2,BAQ,08,1,043,1,198,1,8,2,7006000000,08,33,KG,3631,3631,3631,722,1632600.84,0,0,0,0,800157469,EUROMARMOL LTDA
701,02,27,ABW,2,BAQ,08,1,043,1,198,1,8,2,9403500000,08,11,U,7,3250,3250,18002,40706482.44,0,0,0,0,8661415,MUNERA DAZA CARLOS MAURICIO
701,02,27,ABW,2,BAQ,08,1,043,1,198,1,8,2,9403600000,08,11,U,133,3000,3000,20574,46522340.28,0,0,0,0,8661415,MUNERA DAZA CARLOS MAURICIO
701,02,27,ABW,2,BAQ,08,1,043,1,198,2,8,2,8437109000,08,11,U,1,1544.37,1544.37,19288,42781748.4,0,0,0,0,890101573,SUPER BRIX S.A.
701,02,27,ABW,2,BAQ,08,1,043,1,198,2,8,2,8437809100,08,11,U,1,1395.63,1395.63,17424,38647303.2,0,0,0,0,890101573,SUPER BRIX S.A.
701,02,27,ABW,3,BOG,08,4,169,1,002,2,8,2,6802910000,08,82,M2,2.5,219.98,192.8,350,783576.5,0,0,0,0,900024112,COMERCIALIZADORA DE IMPORTACIONES
701,02,27,ABW,3,BOG,08,4,169,1,002,2,8,2,6802930000,08,82,M2,1.5,314.33,275.5,500,1119395,0,0,0,0,900024112,COMERCIALIZADORA DE IMPORTACIONES
701,02,27,ABW,3,BOG,08,4,169,1,002,2,8,2,6815990000,08,33,KG,71.6,81.69,71.6,130,291042.7,0,0,0,0,900024112,COMERCIALIZADORA DE IMPORTACIONES
701,02,47,ANT,2,BAQ,05,1,218,1,198,1,8,2,1905310000,05,33,KG,32016.6,35033.01,32016.6,43791.6,98585702.83,0,0,0,0,811014994,COMPAÑIA DE GALLETAS NOEL S.A
701,02,47,ANT,2,BAQ,05,1,218,1,198,1,8,2,1905320000,05,33,KG,1872,2055.41,1872,3360,7521427.2,0,0,0,0,811014994,COMPAÑIA DE GALLETAS NOEL S.A
701,02,47,ANT,2,BAQ,05,1,218,1,198,1,8,2,1905901000,05,33,KG,1008,1106.76,1008,1728,3868162.56,0,0,0,0,811014994,COMPAÑIA DE GALLETAS NOEL S.A
