"FECH","ADUA","PAIS","COD_PAI4","COD_SAL1","COD_SAL","DPTO2","VIA","BANDERA","REGIM","MODAD","FINALID","CER_ORI1","SISESP","POSAR","DPTO1","UNID","CODUNI2","CANTI","PBK","PNK","FOBDOL","FOBPES","AGRENA","FLETES","SEGURO","OTROSG","NIT","RAZ_SIAL"
801,1,924,"XCF",0,"AXM",66,3,924,1,198,1,8,1,8504219000,66,11,"U",259,84240,75394,365950.77,718925328.04,284410.21,2283.8,236.45,0,"891401711","INDUSTRIAS ELECTROMECANICAS MAGNETRON SA"
801,2,23,"DEU",2,"BAQ",8,1,23,1,198,1,6,1,3503001000,8,33,"KG",24000,24400,24000,101527,197626366.58,89343.76,1736,177,0,"890101692","GELCO S.A."
801,2,23,"DEU",2,"BAQ",8,1,43,1,198,1,6,1,6302600000,8,11,"U",54000,19583,17833,97020,188853310.8,64867.58,0,0,0,"890100783","INDUSTRIAS CANNON DE COLOMBIA S.A"
801,2,23,"DEU",2,"BAQ",8,1,43,1,198,2,8,2,210200000,8,33,"KG",3440,3496.79,3440,36152.5,70372287.35,0,0,0,0,"802002307","S.  C.I.  OSCAR AREYANES GUILLEN & CIA LTDA."
801,2,23,"DEU",2,"BAQ",8,1,43,1,198,2,8,2,9601900000,8,11,"U",11000,813.21,800,640,1245785.6,0,0,0,0,"802002307","S.  C.I.  OSCAR AREYANES GUILLEN & CIA LTDA."
801,2,23,"DEU",3,"BOG",13,4,573,1,104,2,8,2,8501524000,13,11,"U",1,227,169.5,11840,23081251.2,0,0,0,0,"8904029743","CORPORACION PLASTICA SA"
801,2,23,"DEU",6,"CTG",13,1,77,1,198,1,6,1,9506690000,8,11,"U",6160000,22638,19558,52437,102222260.91,36922.49,0,0,0,"802009120","C.I. PROCAPS S.A."
801,2,27,"ABW",2,"BAQ",5,1,43,1,198,1,8,1,2523210000,5,33,"KG",84000,84570,84000,12852,25883670.96,11407.44,0,0,0,"890100251","CEMENTOS ARGOS S.A."
801,2,27,"ABW",2,"BAQ",8,1,43,1,198,1,5,1,6908900000,25,82,"M2",1018.96,19317,19018,5235.07,10496734.16,4259.46,0,0,0,"860032550","ALFAGRES SA"
801,2,27,"ABW",2,"BAQ",8,1,43,1,198,1,5,2,6907900000,25,82,"M2",427,5732,5640,2104.75,4220192.13,0,0,0,0,"860032550","ALFAGRES SA"
801,2,27,"ABW",2,"BAQ",8,1,434,1,198,1,8,2,4418200000,8,11,"U",8,440,396,1503.9,2948380.91,0,0,0,0,"890111131","PUERTAS Y MADERAS EL SELLA  LTDA"
801,2,27,"ABW",2,"BAQ",47,1,607,1,198,1,8,1,803001200,47,33,"KG",88180,90880,88180,25920,51046588.8,19893.6,0,0,0,"890904224","C.I.UNION DE BANANEROS DE URABA S.A."
801,2,47,"ANT",2,"BAQ",5,1,47,1,198,1,8,2,1905901000,5,33,"KG",18924,20709.58,18924,27360,55070755.2,0,0,0,0,"811014994","COMPAÑIA DE GALLETAS NOEL S.A"
801,2,47,"ANT",2,"BAQ",5,1,218,1,2,2,8,2,8716900000,5,11,"U",1,25,22.22,10,20128.2,0,0,0,0,"811014994","COMPAÑIA DE GALLETAS NOEL S.A"
801,2,47,"ANT",2,"BAQ",8,1,43,1,198,1,8,1,2523290000,8,33,"KG",1250987.5,1250987.5,1250987.5,101329.99,204004628.97,88461.08,0,0,0,"890100251","CEMENTOS ARGOS S.A"
801,2,47,"ANT",2,"BAQ",8,1,43,1,198,1,8,1,3923309000,8,11,"U",228132,4584,4238.51,16785.77,33806205.06,11750.03,0,0,0,"802014606","PET DEL CARIBE S.A"
801,2,47,"ANT",2,"BAQ",8,1,43,1,198,1,8,1,7321111100,11,11,"U",70,828.23,754,10726,21506488.08,9318,486.85,42.9,0,"860017005","CHALLENGER S.A."
801,2,47,"ANT",2,"BAQ",8,1,43,1,198,1,8,1,7321119000,11,11,"U",42,1291.78,1176,8146,16333381.68,6925,369.75,32.58,0,"860017005","CHALLENGER S.A."
801,2,47,"ANT",2,"BAQ",8,1,43,1,198,1,8,1,8516602000,11,11,"U",12,151.59,138,1404,2815132.32,1166,63.73,5.62,0,"860017005","CHALLENGER S.A."
801,2,47,"ANT",2,"BAQ",8,1,43,1,198,1,8,2,604990000,8,33,"KG",12000,12727.98,12000,4714.56,9246666.53,0,0,0,0,"900099367","C. I. CARATLANTICO LTDA."
801,2,47,"ANT",2,"BAQ",8,1,43,1,198,1,8,2,3923509000,8,11,"U",232000,840,696,3213.2,6471320.54,0,0,0,0,"802014606","PET DEL CARIBE S.A"
801,2,47,"ANT",2,"BAQ",8,1,43,1,198,1,8,2,4403990000,8,67,"M3",13550,14372.02,13550,6371.64,12496697.53,0,0,0,0,"900099367","C. I. CARATLANTICO LTDA."
801,2,47,"ANT",2,"BAQ",8,1,43,1,198,1,8,2,6810190000,8,82,"M2",17274.65,196058.6,196058.6,59182,115340391.62,0,0,0,0,"860002301","ETERNIT ATLANTICO S.A."
801,2,47,"ANT",2,"BAQ",8,1,43,1,198,1,8,2,6810190000,8,82,"M2",11897.44,135038,135038,40520,78969833.2,0,0,0,0,"860002301","ETERNIT ATLANTICOS.A."
801,2,47,"ANT",2,"BAQ",8,1,43,1,198,1,8,2,6810990000,8,33,"KG",5796,5796,5796,5280,10290244.8,0,0,0,0,"860002301","ETERNIT ATLANTICO S.A."
801,2,47,"ANT",2,"BAQ",8,1,43,1,198,1,8,2,6810990000,8,33,"KG",5796,5796,5796,5280,10290244.8,0,0,0,0,"860002301","ETERNIT ATLANTICOS.A."
801,2,47,"ANT",2,"BAQ",8,1,43,1,198,1,8,2,7308909000,8,33,"KG",36050,36050,36050,104425.36,203378831.14,0,0,0,0,"802010686","ALFREDO STECKERL HIERROS Y ACEROS S.A."
801,2,47,"ANT",2,"BAQ",8,1,43,1,198,1,8,2,7321909000,11,11,"U",8,9.36,7.1,130.44,254283.64,0,10.07,0.51,0,"860017005","CHALLENGER S.A."
801,2,47,"ANT",2,"BAQ",8,1,43,1,198,1,8,2,8418102000,11,11,"U",26,1266.15,1233.68,6558,13149314.64,0,518.54,26.23,0,"860017005","CHALLENGER S.A."
801,2,47,"ANT",2,"BAQ",8,1,43,1,198,1,8,2,8418103000,11,11,"U",3,226.23,220.43,1089,2183532.12,0,86.11,4.36,0,"860017005","CHALLENGER S.A."
801,2,47,"ANT",2,"BAQ",8,1,43,1,198,1,8,2,8418999000,11,11,"U",36,7.34,6.68,396.2,772364.17,0,30.6,1.58,0,"860017005","CHALLENGER S.A."
801,2,47,"ANT",2,"BAQ",8,1,43,1,198,1,8,2,8481809900,11,11,"U",6,0.55,0.5,175.42,341969.01,0,13.55,0.7,0,"860017005","CHALLENGER S.A."
801,2,47,"ANT",2,"BAQ",8,1,43,1,198,1,8,2,9403600000,11,11,"U",2,43.97,40,10,19494.3,0,0.77,0.04,0,"860017005","CHALLENGER S.A."
801,2,47,"ANT",2,"BAQ",8,1,43,1,2,2,8,2,6810190000,8,82,"M2",10.1,114.66,114.66,16.8,32741.69,0,0,0,0,"860002301","ETERNIT ATLANTICO S.A."
801,2,47,"ANT",2,"BAQ",8,1,47,1,198,1,8,2,602200000,5,11,"U",30,32.01,30,60,120769.2,0,0,0,0,"900167282","ELHOIN DE LA COSTA LTDA"
801,2,47,"ANT",2,"BAQ",8,1,47,1,198,1,8,2,3101009000,5,33,"KG",20000,21337.15,20000,1900,3824358,0,0,0,0,"900167282","ELHOIN DE LA COSTA LTDA"
801,2,47,"ANT",2,"BAQ",8,1,47,1,198,1,8,2,4403990000,8,67,"M3",288,52000,52000,30900,62028969,0,0,0,0,"88197528","HACIENDA LA MONTAÑA"
801,2,47,"ANT",2,"BAQ",8,1,47,1,198,1,8,2,4407990000,5,67,"M3",156,64.01,60,258,519307.56,0,0,0,0,"900167282","ELHOIN DE LA COSTA LTDA"
801,2,47,"ANT",2,"BAQ",8,1,47,1,198,1,8,2,4418100000,5,11,"U",35,320.06,300,3135,6310190.7,0,0,0,0,"900167282","ELHOIN DE LA COSTA LTDA"
801,2,47,"ANT",2,"BAQ",8,1,47,1,198,1,8,2,4418100000,8,11,"U",73,1810,1810,6510.87,12814238.57,0,0,0,0,"900170753","COMERCIALIZADORA APH EU"
