"FECH","ADUANA","PAIS","CODPAI","CODSALI1","CODSAL","DEPTO2","VIA4","BANDERA4","REGIMEN4","MODALI4","FORPAGO4","CERORI3","SISESP","POSARA","DEPTO4","UNIDAD4","CODUNI4","CANTIDA4","PBK","PNK","FOBDOL4","FOBPES4","AGRENA4","FLETES4","SEGURO4","OTROSG4"
409,11,249,"USA",11,"MDE",5,4,169,1,198,1,5,1,6203210000,5,11,"U",554,1076,703.58,22575.5,57630284.89,16436.63,0,0,0
409,11,249,"USA",11,"MDE",5,4,169,1,198,1,8,1,6203210000,5,11,"U",658,1430,835.66,33163.2,84658353.7,10225.98,0,0,0
409,11,97,"BOL",3,"BOG",5,4,97,1,198,1,8,2,9018499000,5,11,"U",15000,71,57,180,459500.4,0,0,0,0
409,11,97,"BOL",3,"BOG",5,4,97,1,198,1,8,1,3006401010,5,33,"KG",0,21.93,20.72,1300,3318614,1207.2,71.33,0,7.06
409,11,97,"BOL",3,"BOG",5,4,97,1,198,1,8,1,9021210000,5,11,"U",120480,231.07,218.3,7901.6,20171046.45,7585.54,751.55,0,42.94
409,11,249,"USA",11,"MDE",5,4,249,1,198,1,8,2,6108920000,5,11,"U",427,42.87,39.69,1428.8,3647412.06,0,0,0,0
409,11,249,"USA",11,"MDE",5,4,249,1,198,1,8,2,6204620000,5,11,"U",180,76.31,70.66,2340,5973505.2,0,0,0,0
409,11,493,"MEX",11,"MDE",5,4,580,1,198,1,3,2,6107110000,5,11,"U",7004,693.72,651.48,28646.4,73127956.99,0,0,0,0
409,11,493,"MEX",11,"MDE",5,4,580,1,198,1,3,2,6107190000,5,11,"U",1275,125.3,117.67,5174.05,13208211.36,0,0,0,0
409,11,317,"GTM",11,"MDE",5,4,580,1,198,1,7,2,3923309090,5,11,"U",5000,215,210.8,1758,4487787.24,0,0,0,0
409,11,196,"CRI",11,"MDE",5,4,580,1,198,1,8,2,3923210000,5,11,"U",5000,131,123,1700,4339726,0,0,0,0
409,11,317,"GTM",11,"MDE",5,4,580,1,198,1,8,2,6112410000,5,11,"U",255,67.04,60.62,4873.44,12440820.16,0,0,0,0
409,11,27,"ABW",3,"BOG",5,4,169,1,198,1,8,2,6802910000,5,82,"M2",10,1275.51,1225,9894,25257205.32,0,0,0,0
409,11,27,"ABW",3,"BOG",5,4,169,1,198,1,8,2,7326900090,5,11,"U",36,5.21,5,306,781150.68,0,0,0,0
409,11,580,"PAN",11,"MDE",5,4,580,1,198,1,8,2,6301400000,5,11,"U",4720,1375,1272,13347.6,34073486.33,0,0,0,0
409,11,317,"GTM",11,"MDE",5,4,580,1,198,1,8,2,6108920000,5,11,"U",155,8.77,8.08,491.35,1254308.45,0,0,0,0
409,11,317,"GTM",11,"MDE",5,4,580,1,198,1,8,2,6305390000,5,11,"U",900,50.93,46.93,810,2067751.8,0,0,0,0
409,11,317,"GTM",11,"MDE",5,4,580,1,198,1,8,2,6104230000,5,11,"U",210,30.22,29.11,724.5,1849489.11,0,0,0,0
409,11,317,"GTM",11,"MDE",5,4,580,1,198,1,8,2,6107220000,5,11,"U",90,12.94,12.47,265.5,677763.09,0,0,0,0
409,11,317,"GTM",11,"MDE",5,4,580,1,198,1,8,2,3926909090,5,33,"KG",0,16,15,780,1991168.4,0,0,0,0
409,11,317,"GTM",11,"MDE",5,4,580,1,198,1,8,2,9021900000,5,11,"U",2200,80,75,550,1404029,0,0,0,0
409,11,493,"MEX",11,"MDE",5,4,580,1,198,1,3,2,6201120000,5,11,"U",2257,528.94,500.03,28467.45,72671137.01,0,0,0,0
409,11,493,"MEX",11,"MDE",5,4,580,1,198,1,3,1,6109909000,5,11,"U",1927,349.61,326.22,9653.12,24642291.67,9447.51,0,0,0
409,11,493,"MEX",11,"MDE",5,4,580,1,198,1,3,2,6202120000,5,11,"U",702,254.37,238.68,8634.6,22042234.19,0,0,0,0
409,11,196,"CRI",11,"MDE",5,4,580,1,198,1,8,2,6114300000,5,11,"U",24,0.85,0.83,26.88,68618.73,0,0,0,0
409,11,611,"PRI",11,"MDE",5,4,580,1,198,1,5,2,6212100000,5,11,"U",1874,95.07,92,7853.4,20048002.45,0,0,0,0
409,11,611,"PRI",11,"MDE",5,4,580,1,198,1,5,2,6108220000,5,11,"U",2015,97.49,94.39,3819.23,9749653.96,0,0,0,0
409,11,196,"CRI",11,"MDE",5,4,580,1,198,1,8,1,6115120000,5,11,"U",658,58.3,55.92,996,2542568.88,705.87,0,0,0
409,11,196,"CRI",11,"MDE",5,4,580,1,198,1,8,1,6115931000,5,19,"2U",60,5.32,5.1,38.4,98026.75,28.05,0,0,0
409,11,580,"PAN",11,"MDE",5,4,580,1,198,1,8,2,7326200000,5,11,"U",4,266.95,250,1000,2552780,0,0,0,0
409,11,196,"CRI",11,"MDE",5,4,580,1,198,1,8,2,4202310000,5,11,"U",4698,367.38,342.6,2334.6,5959720.19,0,0,0,0
409,11,196,"CRI",11,"MDE",5,4,580,1,198,1,8,2,4202210000,5,11,"U",574,187.81,173.9,437.45,1116713.61,0,0,0,0
